GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jokeFetcher,testex,DateFormatter,68,0,4,0,13,0,5,0,3,0
jokeFetcher,testex,JokeException,4,0,0,0,2,0,1,0,1,0
jokeFetcher,testex,JokeFetcher,146,0,8,0,29,0,10,0,6,0
jokeFetcher,testex,Joke,32,0,0,0,7,0,4,0,4,0
jokeFetcher,testex,Jokes,24,0,0,0,8,0,5,0,5,0
jokeFetcher,jokeClasses,Moma,24,0,0,0,5,0,2,0,2,0
jokeFetcher,jokeClasses,EduJoke,36,0,0,0,7,0,2,0,2,0
jokeFetcher,jokeClasses,Tambal,24,0,0,0,5,0,2,0,2,0
jokeFetcher,jokeClasses,FetcherFactory,120,0,20,0,18,0,16,0,3,0
jokeFetcher,jokeClasses,ChuckNorris,24,0,0,0,5,0,2,0,2,0
